"MeanDecreaseAccuracy","variable"
5.26277460643075,"MDEN.12"
5.04200939579429,"minHBint6"
4.529725212531,"MDEN.22"
4.51194552703873,"SHBint6"
4.50560984374051,"AATSC6c"
4.44785500633967,"ETA_BetaP_ns_d"
4.15839313016733,"maxHBint6"
4.15483844567473,"ATSC6c"
4.1171238406396,"JGI2"
4.0538244909145,"nHBint6"
4.03145498956311,"SHBd"
3.94974504099635,"SaaN"
3.88582553061814,"AATS1i"
3.83449831782891,"minssNH"
3.81294015594141,"MATS6c"
3.61646007027247,"MLogP"
3.51778336142838,"AATSC5c"
3.51768643628565,"GATS5m"
3.42766668416074,"ETA_Beta_ns_d"
3.40548835836756,"maxssNH"
3.36091105554503,"naaN"
3.3072009870014,"minHBint10"
3.30145066750338,"SssNH"
3.2719871295696,"maxHBint10"
3.2488580475747,"C1SP2"
3.20827055422949,"ATSC5s"
3.1791020082391,"VC.5"
3.17622903905011,"WTPT.4"
3.16199219048842,"minHsNH2"
3.15728164398147,"AATSC2c"
3.15062844018539,"AATSC3m"
3.08832066607626,"maxHBa"
3.05661067144755,"minHBint5"
3.02811102558534,"AATSC5m"
3.01301427122059,"SC.5"
3.00953896602284,"SHsNH2"
3.00952453754609,"ATSC2c"
3.0039632832336,"minaaN"
2.99017928814578,"ATSC7c"
2.98679669138401,"maxHssNH"
2.95324166190374,"MATS7c"
2.94271415548668,"SHssNH"
2.92978147909005,"ATSC8i"
2.86969561412873,"AATSC3c"
2.84165704709842,"BIC2"
2.81765368183838,"maxHCsats"
2.8074092455177,"AATS1e"
2.79776902036933,"minwHBa"
2.79159348947795,"MATS5c"
2.78731815552115,"ATSC5c"
2.75044396121547,"AATSC0p"
2.75037862945355,"AATSC1c"
2.7444788522692,"SpMAD_Dt"
2.74315015074554,"maxHsNH2"
2.74132473630557,"gmax"
2.73576620071905,"AATSC6e"
2.73563722273985,"AATS8m"
2.72160027841735,"MDEC.23"
2.71380833750626,"ETA_dEpsilon_D"
2.68814400628977,"SpMin3_Bhm"
2.67543603763692,"GATS4e"
2.67436186035512,"GATS4s"
2.67278505300086,"MDEC.22"
2.65891181095942,"GATS6m"
2.65689079985978,"gmin"
2.6347763030404,"VE3_Dzi"
2.62551393276578,"MATS1s"
2.61437522870389,"MATS3s"
2.60882783454813,"AATSC7e"
2.60731812204821,"GGI2"
2.58607572441004,"nHBAcc3"
2.5825293216083,"GATS8v"
2.57427391312102,"AATS7i"
2.57191947847168,"SpMAD_Dzs"
2.56391837427071,"AATSC0v"
2.55125324708297,"SpMax3_Bhm"
2.54983413192409,"maxsNH2"
2.54272745859525,"ATSC1m"
2.5393091167832,"IC2"
2.53157798010157,"AATSC7p"
2.52871399826558,"ATSC4c"
2.50252493105481,"JGI5"
2.46773070529985,"MATS4c"
2.46689827038132,"maxwHBa"
2.46479545279626,"GATS3m"
2.46272092741433,"AATS5v"
2.4621887090742,"minHssNH"
2.45765653706074,"JGI6"
2.43687469628249,"AATSC5e"
2.42357151587228,"ATSC3v"
2.41763517749409,"ETA_BetaP_ns"
2.41128407640937,"SaasC"
2.40837907283794,"minsNH2"
2.40645029819501,"MATS5m"
2.40282945008668,"VE3_Dzs"
2.39150230996528,"piPC7"
2.39051969379162,"ATSC8p"
2.38705733595209,"ATSC3m"
2.3841869681842,"maxHBd"
2.38212790098197,"ATSC7i"
2.37861598989619,"GATS7c"
2.37392059884967,"SpMax4_Bhe"
2.37059162150224,"AATSC5s"
2.36928338868449,"maxHBint4"
2.36634940026346,"ASP.7"
2.36233725160986,"MATS2c"
2.36181500771364,"JGI9"
2.35519500978793,"SpMin6_Bhv"
2.35351225584214,"ATSC1s"
2.35347172864834,"SpMax5_Bhp"
2.35316748977583,"maxsOH"
2.35275551815803,"SpMax2_Bhs"
2.35229951059686,"MATS1e"
2.34906345138275,"maxHBint5"
2.34375625714597,"WTPT.3"
2.33965074724512,"AATSC3p"
2.33505357828859,"SHCsats"
2.33424824452613,"SpMin2_Bhe"
2.33016113987894,"MATS3v"
2.32880422319084,"GATS1s"
2.32869677064274,"SpMax2_Bhi"
2.31699705411468,"MATS2s"
2.3163750432443,"ETA_EtaP_F_L"
2.31528657224064,"MATS6e"
2.30766266088337,"AATS6v"
2.30090768408791,"MATS1m"
2.29610375563938,"MATS4s"
2.29433459859347,"AATS3i"
2.28649615355691,"piPC5"
2.28554514186385,"ETA_EtaP_L"
2.27951989786641,"VPC.6"
2.2776997417422,"AATS2m"
2.27269937630642,"SpMax5_Bhv"
2.26546054566011,"VE3_Dt"
2.26351483935157,"GATS1c"
2.2597855636392,"SpMax5_Bhi"
2.2597743395482,"maxdO"
2.25840994346855,"MATS7p"
2.25716668822776,"ATS4m"
2.24782103806729,"ETA_BetaP_s"
2.24320037350951,"ATSC4e"
2.24209107784085,"VE1_DzZ"
2.24126946603203,"AATSC0i"
2.23926308491381,"GATS6i"
2.22980143517036,"AATSC2i"
2.22937744893297,"ATSC1v"
2.22885944199162,"maxHBint3"
2.22819609743454,"CIC1"
2.22689934483852,"VE3_DzZ"
2.22625597050217,"VR2_Dzp"
2.21913854457318,"nAtomLAC"
2.21669082256725,"minsCH3"
2.20580816486469,"MATS7e"
2.20181606437274,"SpMin7_Bhs"
2.19705058237694,"ATSC6m"
2.1934040548736,"ATSC6s"
2.18009625121338,"AATS5i"
2.17972691006649,"MATS3c"
2.16814086456171,"maxsCH3"
2.16631721702134,"SpDiam_D"
2.15116961891115,"ETA_Shape_P"
2.15055698956813,"nHBAcc_Lipinski"
2.14722472702331,"MATS1p"
2.14588820488873,"nssNH"
2.13977029890035,"SpMin3_Bhs"
2.13738430662737,"McGowan_Volume"
2.13690467470717,"nHBint10"
2.12889430034276,"SssCH2"
2.12324896053398,"GGI8"
2.11917186614764,"SpMax8_Bhi"
2.11807085720313,"VE1_Dzs"
2.11575742869278,"MATS4m"
2.11554578861443,"AVP.3"
2.11346615296679,"AATSC4s"
