"MeanDecreaseGini","variable"
7.62388968298151,"MDEN.12"
5.81986939770932,"ATSC6c"
5.26938761891595,"MDEN.22"
5.06893918369872,"minHBint6"
4.71387833652562,"MATS6c"
4.48967460277835,"ETA_BetaP_ns_d"
4.34719559530383,"SHBint6"
4.13192158491125,"nHBint6"
3.99879275738201,"AATSC6c"
3.88858460394133,"maxHBint6"
3.55259494965713,"MLogP"
3.52735655894494,"SHBd"
3.35306047142832,"SaaN"
3.01349998545003,"maxHsNH2"
2.85522822818849,"SHsNH2"
2.528692916429,"naaN"
2.35058304676376,"maxHssNH"
2.23457943669248,"SssNH"
2.1897636257351,"C1SP2"
2.12620144632809,"AATS1i"
2.09303631805969,"minHsNH2"
1.98305375367932,"ATSC2c"
1.978494777198,"AATSC6e"
1.96845396441621,"minssNH"
1.90511700597784,"AATSC3m"
1.81393437065504,"AATSC2c"
1.75122614017805,"AATSC1c"
1.74210846480129,"MATS7c"
1.64714803784596,"minHssNH"
1.5977317642254,"SHssNH"
1.51730095196034,"JGI2"
1.45755698954755,"maxssNH"
1.44803715567035,"MATS6e"
1.42674292779564,"SpMin3_Bhs"
1.40360964016736,"AATSC7e"
1.34311007562086,"AATSC5c"
1.31372050666887,"SpMin1_Bhm"
1.28809433355453,"AATS1e"
1.27572366396744,"MATS2c"
1.24229163048886,"maxsCH3"
1.17441444453998,"MDEC.23"
1.17058965123048,"maxHBint10"
1.15610154157807,"ATSC7c"
1.14402917143473,"MATS5c"
1.09110425303193,"ETA_Beta_ns_d"
1.08903295541911,"minHBint5"
1.08009264221978,"GATS6m"
1.06690598842336,"minsNH2"
1.06555827986369,"GATS1c"
1.02987762653536,"SpMax5_Bhp"
1.01426507817668,"VC.5"
0.983973628667929,"maxsNH2"
0.939333763872209,"MATS7e"
0.939076722843887,"minHBint10"
0.934436021891799,"ETA_EtaP_L"
0.926958876102417,"GATS7c"
0.90937294932921,"AATSC7c"
0.907882195729397,"MATS3m"
0.90784396704812,"ATSC5c"
0.824924360655553,"SC.5"
0.822797390733427,"MATS1e"
0.817738217653201,"GATS3m"
0.804206702395846,"GATS5m"
0.786693052314641,"maxHBint5"
0.768627189057431,"GATS6c"
0.764839168099073,"AATSC3c"
0.75950823858637,"VE1_Dzs"
0.746334310756543,"piPC10"
0.736316267369701,"AATSC0v"
0.727681189283583,"SpMax5_Bhm"
0.689360206211454,"TpiPC"
0.685958766228745,"nAtomLAC"
0.680023732391621,"VR2_Dzv"
0.67345309941947,"SpMin6_Bhe"
0.668377992390091,"GATS6e"
0.651240181236952,"maxHCsats"
0.634602360374205,"VPC.4"
0.625901104313952,"MDEC.22"
0.622285807862457,"SpMin6_Bhi"
0.61907274056105,"SpMin4_Bhm"
0.616837814179564,"AATSC4c"
0.615305399306822,"SpMin1_Bhi"
0.605097175761222,"maxHBa"
0.603060554412905,"SwHBa"
0.593369670571379,"AATSC1e"
0.592762903255655,"AATSC5m"
0.590247857437605,"SHBint8"
0.589455200529116,"SsNH2"
0.582094193749189,"Mi"
0.580076192393977,"MATS1s"
0.578863974173198,"MATS6m"
0.569796438350129,"ETA_dEpsilon_D"
0.566200140054047,"MATS7p"
0.559653136824399,"maxHBd"
0.553009120474819,"ATSC3m"
0.548667339677446,"MATS5m"
0.533232356036838,"GATS3s"
0.532864991194765,"nssNH"
0.529855504148364,"VR1_Dzp"
0.503584551507968,"SpMax5_Bhv"
0.50126811903819,"SpMin2_Bhm"
0.501119269238436,"SpMin5_Bhe"
0.501006757487161,"AATSC6m"
0.488715038122822,"AATSC7p"
0.488090904049877,"nHBDon"
0.48494083354966,"piPC8"
0.483610925590324,"SpMAD_Dzs"
0.478329858471976,"AATSC0p"
0.474588215621616,"ATSC6s"
0.473645240710382,"GATS4e"
0.472844995287477,"VE3_Dzi"
0.457895783484456,"SpMax1_Bhi"
0.451616059238412,"minwHBa"
0.44478585306993,"minaaN"
0.439492190400511,"VE1_DzZ"
0.427476065636789,"GATS4s"
0.42490633750452,"ATSC7e"
0.423217136254027,"GATS3e"
0.417587562318738,"CIC2"
0.41671044203844,"VR1_DzZ"
0.416444687335778,"SpMin1_Bhe"
0.41466602582889,"GATS1s"
0.414254825659578,"piPC7"
0.414010458630238,"MATS6s"
0.406161828220531,"SpMAD_Dze"
0.403583590407971,"SHCsats"
0.403108318448043,"MATS2s"
0.40297342259491,"MATS4e"
0.402037071428191,"MATS1c"
0.39944046941377,"VPC.6"
0.396770177163069,"VR1_Dzv"
0.396469986794143,"AATSC4e"
0.395646104445165,"TopoPSA"
0.394286927019725,"SHBint10"
0.392539464055756,"SpAbs_Dzs"
0.392249494214391,"GATS1e"
0.391652933403433,"MATS4c"
0.391414083257711,"ASP.4"
0.391222371558647,"AATS2e"
0.389076634416308,"ATSC3v"
0.388843342576592,"MATS8p"
0.387019170664417,"minssO"
0.386002395682734,"ATSC4c"
0.384690299837821,"nHBDon_Lipinski"
0.384099221351389,"GGI2"
0.383735807896554,"SpMax5_Bhi"
0.382798278166555,"JGI5"
0.381301473178902,"AATSC4s"
0.38085931914428,"SpMin2_Bhe"
0.378179838726825,"VE2_Dzm"
0.378140922785422,"ZMIC5"
0.378041605987613,"ATSC5m"
0.378027853093111,"AATS2s"
0.377705425097074,"GATS1p"
0.37750509082553,"MLFER_A"
0.377482421323806,"AATSC5e"
0.373861563623854,"SHBint5"
0.372378968709168,"VR1_Dzs"
0.372248572631636,"SpMax6_Bhv"
0.372135182072744,"SpDiam_Dzs"
0.370370584499828,"MATS3v"
0.363802474502388,"nHBAcc3"
0.362488669671093,"ATSC0p"
0.362196267017454,"AATS5v"
0.361268607759884,"VE3_DzZ"
0.355749117547364,"AATSC0c"
0.355234207356185,"SpMAD_Dt"
0.353163269486981,"maxHBint4"
0.353131253134686,"SpMin3_Bhm"
0.351390565620617,"VPC.5"
0.348813151229718,"ATSC1s"
0.348532021070666,"AATS7i"
0.348485600279502,"VR2_Dzp"
0.347688909017863,"GATS7v"
0.346420904361859,"ATSC6m"
0.340338945515935,"ATSC7i"
0.339345495994939,"AVP.3"
0.338861423524467,"Mare"
0.338247766869429,"SpMax1_Bhp"
0.337126650053288,"maxsssN"
0.334468478176463,"ATSC1m"
0.332262659489608,"GATS8p"
0.331645703009526,"piPC6"
0.328257394036618,"Mse"
0.327393898892355,"SHBint4"
0.327374455254456,"ATSC7s"
0.326253443163537,"ATSC4s"
0.325588412319256,"WTPT.4"
0.325419947304967,"SpMin5_Bhm"
0.322258006776393,"VE2_Dze"
